"total_input_tokens","ttft_seconds"
49998,2.53420301281612
52840.8093645485,2.59581288852282
55683.618729097,2.65761077152697
58526.4280936455,2.71959666182855
61369.237458194,2.78177055942758
64212.0468227425,2.84413246432405
67054.856187291,2.90668237651795
69897.6655518395,2.9694202960093
72740.474916388,3.03234622279809
75583.2842809365,3.09546015688432
78426.0936454849,3.15876209826799
81268.9030100334,3.2222520469491
84111.7123745819,3.28593000292765
86954.5217391304,3.34979596620364
89797.3311036789,3.41384993677707
92640.1404682274,3.47809191464794
95482.9498327759,3.54252189981625
98325.7591973244,3.607139892282
101168.568561873,3.6719458920452
104011.377926421,3.73693989910583
106854.18729097,3.8021219134639
109696.996655518,3.86749193511942
112539.806020067,3.93304996407237
115382.615384615,3.99879600032277
118225.424749164,4.0647300438706
121068.234113712,4.13085209471588
123911.043478261,4.1971621528586
126753.852842809,4.26366021829875
129596.662207358,4.33034629103635
132439.471571906,4.39722037107139
135282.280936455,4.46428245840387
138125.090301003,4.53153255303379
140967.899665552,4.59897065496115
143810.7090301,4.66659676418595
146653.518394649,4.73441088070819
149496.327759197,4.80241300452787
152339.137123746,4.87060313564499
155181.946488294,4.93898127405955
158024.755852843,5.00754741977155
160867.565217391,5.07630157278099
163710.37458194,5.14524373308788
166553.183946488,5.2143739006922
169395.993311037,5.28369207559396
172238.802675585,5.35319825779317
175081.612040134,5.42289244728981
177924.421404682,5.4927746440839
180767.230769231,5.56284484817543
183610.040133779,5.63310305956439
186452.849498328,5.7035492782508
189295.658862876,5.77418350423464
192138.468227425,5.84500573751593
194981.277591973,5.91601597809466
197824.086956522,5.98721422597083
200666.89632107,6.05860048114444
203509.705685619,6.13017474361549
206352.515050167,6.20193701338398
209195.324414716,6.27388729044991
212038.133779264,6.34602557481328
214880.943143813,6.41835186647409
217723.752508361,6.49086616543234
220566.56187291,6.56356847168803
223409.371237458,6.63645878524116
226252.180602007,6.70953710609174
229094.989966555,6.78280343423975
231937.799331104,6.85625776968521
234780.608695652,6.9299001124281
237623.418060201,7.00373046246844
240466.227424749,7.07774881980621
243309.036789298,7.15195518444143
246151.846153846,7.22634955637408
248994.655518395,7.30093193560418
251837.464882943,7.37570232213172
254680.274247492,7.45066071595669
257523.08361204,7.52580711707911
260365.892976589,7.60114152549897
263208.702341137,7.67666394121627
266051.511705686,7.75237436423101
268894.321070234,7.82827279454319
271737.130434783,7.90435923215281
274579.939799331,7.98063367705987
277422.74916388,8.05709612926437
280265.558528428,8.13374658876632
283108.367892977,8.2105850555657
285951.177257525,8.28761152966252
288793.986622074,8.36482601105678
291636.795986622,8.44222849974849
294479.605351171,8.51981899573763
297322.414715719,8.59759749902421
300165.224080268,8.67556400960824
303008.033444816,8.75371852748971
305850.842809365,8.83206105266861
308693.652173913,8.91059158514496
311536.461538462,8.98931012491875
314379.27090301,9.06821667198997
317222.080267559,9.14731122635864
320064.889632107,9.22659378802475
322907.698996656,9.3060643569883
325750.508361204,9.38572293324929
328593.317725753,9.46556951680772
331436.127090301,9.54560410766359
334278.936454849,9.6258267058169
337121.745819398,9.70623731126765
339964.555183946,9.78683592401584
342807.364548495,9.86762254406147
345650.173913043,9.94859717140455
348492.983277592,10.0297598060451
351335.79264214,10.111110447983
354178.602006689,10.1926490972184
357021.411371237,10.2743757537512
359864.220735786,10.3562904175815
362707.030100334,10.4383930887092
365549.839464883,10.5206837671344
368392.648829431,10.603162452857
371235.45819398,10.685829145877
374078.267558528,10.7686838461945
376921.076923077,10.8517265538094
379763.886287625,10.9349572687218
382606.695652174,11.0183759909316
385449.505016722,11.1019827204388
388292.314381271,11.1857774572435
391135.123745819,11.2697602013456
393977.933110368,11.3539309527452
396820.742474916,11.4382897114422
399663.551839465,11.5228364774366
402506.361204013,11.6075712507285
405349.170568562,11.6924940313178
408191.97993311,11.7776048192046
411034.789297659,11.8629036143888
413877.598662207,11.9483904168704
416720.408026756,12.0340652266495
419563.217391304,12.119928043726
422406.026755853,12.2059788681
425248.836120401,12.2922176997714
428091.64548495,12.3786445387402
430934.454849498,12.4652593850065
433777.264214047,12.5520622385703
