"model","estimator","degree","alpha","beta","gamma","sigma","df","log_likelihood","nll","aicc","convergence"
"GPT-6 Astra","Student-t",1,-0.0531653840880916,31.2472565921162,0,0.823592870293493,4,-34.6711359724711,34.6711359724711,86.2834484155304,0
"GPT-6 Astra","Student-t",2,1.48136798730552,20.4759729822753,11.6318618674564,0.48581163980002,4,-21.306920680017,21.306920680017,63.613841360034,0
