"model","linear_log_likelihood","quadratic_log_likelihood","two_log_likelihood_improvement","lr_df","lr_p_value","linear_aicc","quadratic_aicc","delta_aicc_linear_minus_quadratic","student_t_gamma","huber_bootstrap_gamma_q025","huber_bootstrap_gamma_median","huber_bootstrap_gamma_q975","huber_bootstrap_fraction_gamma_positive","huber_bootstrap_replicates"
"GPT-5.6 Terra",-74.4547946810192,-35.3063082951718,78.2969727716949,1,8.86576194193947e-19,172.516146739088,97.0126165903436,75.503530148744,8.02646096536283,6.82096809237826,8.12272597489504,9.12100942949387,1,5000
"GPT-5.6 Sol",-38.6183746099002,-18.0909577450025,41.0548337297955,1,1.4801764325651e-10,96.3276583107096,59.0390583471478,37.2885999635618,10.415900440701,8.97215729865538,10.3837005032773,13.0368732413863,1,5000
"Claude Sonnet 5",-61.7758533378969,-61.7070943038001,0.137518068193486,1,0.710760962187429,161.278022465267,163.924826905473,-2.64680444020516,-0.20582264355797,-1.22270759143132,0.021963087190913,1.29240743187527,0.513,5000
"Claude Opus 5",-100.551203194296,-100.477515224352,0.147375939886786,1,0.701055723213336,220.794714080899,223.691872553968,-2.89715847306869,1.57536686814213,-6.29689948017041,0.791483906311011,9.6988174725117,0.555,5000
