"model","target_tokens","total_input_tokens","block","ttft_seconds"
"Claude Sonnet 5",50000,49994,1,1.489672136
"Claude Sonnet 5",550000,549994,1,7.720161505
"Claude Sonnet 5",250000,249994,1,3.420393061
"Claude Sonnet 5",375000,374994,1,5.487554116
"Claude Sonnet 5",175000,174994,1,4.072620939
"Claude Sonnet 5",750000,749994,1,9.876393803
"Claude Sonnet 5",900000,899994,1,11.810514922
"Claude Sonnet 5",100000,99994,1,1.591200718
"Claude Sonnet 5",50000,49994,2,1.095086475
"Claude Sonnet 5",175000,174994,2,2.902117901
"Claude Sonnet 5",375000,374994,2,5.125264798
"Claude Sonnet 5",550000,549994,2,8.161573203
"Claude Sonnet 5",100000,99994,2,1.697843513
"Claude Sonnet 5",900000,899994,2,12.901844975
"Claude Sonnet 5",750000,749994,2,10.915551751
"Claude Sonnet 5",250000,249994,2,3.400184775
"Claude Sonnet 5",250000,249994,3,3.460223273
"Claude Sonnet 5",100000,99994,3,1.6642708
"Claude Sonnet 5",900000,899994,3,11.277966378
"Claude Sonnet 5",750000,749994,3,9.686933613
"Claude Sonnet 5",175000,174994,3,2.712244891
"Claude Sonnet 5",50000,49994,3,1.021047245
"Claude Sonnet 5",375000,374994,3,5.595222524
"Claude Sonnet 5",550000,549994,3,8.034958979
"Claude Sonnet 5",250000,249994,4,3.576902337
"Claude Sonnet 5",175000,174994,4,2.874963274
"Claude Sonnet 5",375000,374994,4,5.612571823
"Claude Sonnet 5",550000,549994,4,6.903299717
"Claude Sonnet 5",100000,99994,4,1.576265737
"Claude Sonnet 5",50000,49994,4,1.237471083
"Claude Sonnet 5",750000,749994,4,10.102616675
"Claude Sonnet 5",900000,899994,4,11.908554353
"Claude Sonnet 5",250000,249994,5,3.681282207
"Claude Sonnet 5",550000,549994,5,8.14456323
"Claude Sonnet 5",375000,374994,5,4.778355082
"Claude Sonnet 5",50000,49994,5,1.453603031
"Claude Sonnet 5",900000,899994,5,12.681525887
"Claude Sonnet 5",100000,99994,5,1.988969166
"Claude Sonnet 5",750000,749994,5,11.418157849
"Claude Sonnet 5",175000,174994,5,3.49616073
"Claude Sonnet 5",900000,899994,6,13.039882621
"Claude Sonnet 5",250000,249994,6,3.483004241
"Claude Sonnet 5",100000,99994,6,1.762443844
"Claude Sonnet 5",375000,374994,6,5.312644097
"Claude Sonnet 5",750000,749994,6,10.340108667
"Claude Sonnet 5",550000,549994,6,7.953702499
"Claude Sonnet 5",175000,174994,6,2.527753776
"Claude Sonnet 5",50000,49994,6,1.115084297
"Claude Sonnet 5",250000,249994,7,3.989710407
"Claude Sonnet 5",750000,749994,7,10.477096237
"Claude Sonnet 5",375000,374994,7,5.065543747
"Claude Sonnet 5",100000,99994,7,1.72386501
"Claude Sonnet 5",550000,549994,7,7.242470027
"Claude Sonnet 5",900000,899994,7,11.769300364
"Claude Sonnet 5",175000,174994,7,2.59870246
"Claude Sonnet 5",50000,49994,7,2.084061442
"Claude Sonnet 5",375000,374994,8,4.878467177
"Claude Sonnet 5",175000,174994,8,2.699810125
"Claude Sonnet 5",900000,899994,8,11.350907541
"Claude Sonnet 5",50000,49994,8,0.980079894
"Claude Sonnet 5",250000,249994,8,3.552240217
"Claude Sonnet 5",550000,549994,8,7.907297552
"Claude Sonnet 5",750000,749994,8,10.934202103
"Claude Sonnet 5",100000,99994,8,1.862722521
"Claude Sonnet 5",375000,374994,9,5.34674263
"Claude Sonnet 5",100000,99994,9,1.508718313
"Claude Sonnet 5",175000,174994,9,2.656938558
"Claude Sonnet 5",550000,549994,9,7.472329821
"Claude Sonnet 5",250000,249994,9,3.83407356
"Claude Sonnet 5",900000,899994,9,11.237304579
"Claude Sonnet 5",750000,749994,9,10.388873542
"Claude Sonnet 5",50000,49994,9,1.267788397
"Claude Sonnet 5",250000,249994,10,3.614667014
"Claude Sonnet 5",375000,374994,10,5.819138273
"Claude Sonnet 5",175000,174994,10,2.470206329
"Claude Sonnet 5",900000,899994,10,11.50831064
"Claude Sonnet 5",750000,749994,10,10.956015586
"Claude Sonnet 5",50000,49994,10,1.099875405
"Claude Sonnet 5",550000,549994,10,7.387880262
"Claude Sonnet 5",100000,99994,10,2.234296517
"Claude Sonnet 5",250000,249994,11,3.87315086
"Claude Sonnet 5",100000,99994,11,2.14222386
"Claude Sonnet 5",50000,49994,11,1.044920116
"Claude Sonnet 5",550000,549994,11,7.186387171
"Claude Sonnet 5",375000,374994,11,5.507214311
"Claude Sonnet 5",900000,899994,11,17.021550779
"Claude Sonnet 5",175000,174994,11,2.833312828
"Claude Sonnet 5",750000,749994,11,10.953134319
"Claude Sonnet 5",750000,749994,12,11.5814532
"Claude Sonnet 5",900000,899994,12,11.824321876
"Claude Sonnet 5",375000,374994,12,5.007960442
"Claude Sonnet 5",175000,174994,12,3.112522178
"Claude Sonnet 5",50000,49994,12,1.006202677
"Claude Sonnet 5",100000,99994,12,1.945508103
"Claude Sonnet 5",550000,549994,12,7.163456817
"Claude Sonnet 5",250000,249994,12,3.455448937
"Claude Sonnet 5",750000,749994,13,9.739442776
"Claude Sonnet 5",900000,899994,13,11.80010537
"Claude Sonnet 5",100000,99994,13,1.625554483
